# DEBT REGISTER, NOT AN APPROVAL -- generated by
# scripts/check-attr-spread-collision.sh --update-baseline. Every line below is a real,
# live "component-attributes-forward" instance of the duplicate-attribute defect this gate looks for (see
# check-attr-spread-collision.sh's own header, and
# dev-docs/issues/duplicate-attribute-findings.md for the full breakdown), listed here
# only because fixing every pre-existing site was out of scope for the lane that added
# this gate. Format: file<TAB>enclosing-fn<TAB>attribute-name, one line per finding
# (duplicates meaningful -- a multiset, not a set; see the .sh header for why). Do not
# hand-edit: adding a line here to silence a real new finding defeats the gate: fix the
# site instead, or re-run with --update-baseline and explain why in the commit.
preview/src/components/switch/component.rs	Switch	class
preview/src/components/tag_group/component.rs	RemoveButton	class
preview/src/components/tag_group/component.rs	Tag	class
preview/src/components/tag_group/component.rs	TagGroup	class
preview/src/components/tag_group/component.rs	TagGroupEmpty	class
preview/src/components/tag_group/component.rs	TagGroupLabel	class
preview/src/components/tag_group/component.rs	TagGroupMulti	class
preview/src/components/tag_group/component.rs	TagList	class
preview/src/components/toast/component.rs	StyledToast	class
preview/src/components/toast/component.rs	ToastCloseButton	class
preview/src/components/toast/component.rs	ToastContent	class
preview/src/components/toast/component.rs	ToastDescription	class
preview/src/components/toast/component.rs	ToastProvider	class
preview/src/components/toast/component.rs	ToastTitle	class
primitives/src/date_picker.rs	DatePickerDaySegment	aria_label
primitives/src/date_picker.rs	DatePickerMonthSegment	aria_label
primitives/src/date_picker.rs	DatePickerYearSegment	aria_label
primitives/src/toggle_group.rs	ToggleItem	tabindex
